store,name,label_category,url,brand,top_description,base_category,__v,location,_id,price/0/date,price/0/current,price/0/origin,price/1/date,price/1/current,price/1/origin,price/2/date,price/2/current,price/2/origin,price/3/date,price/3/current,price/3/origin,feature_description,price/4/date,price/4/current,price/4/origin,price/5/date,price/5/current,price/5/origin,price/6/date,price/6/current,price/6/origin,price/7/date,price/7/current,price/7/origin
Tiki Trading,Son Màu Mịn Môi Maybelline Pink Alert Lip Color,092,https://tiki.vn/son-mau-min-moi-maybelline-pink-alert-lip-color-p111823.html,Maybelline,"-Tinh chất mật ong dưỡng ẩm sâu cho môi mềm mịn-Công thức với sắc tố màu nguyên chất mang lại 4 sắc hồng rực rỡ-Chất son đánh mịn, không cợn-Dùng được trên mọi làn da-Xuất xứ từ thương hiệu của Mỹ-
",Làm Đẹp - Sức Khỏe,1, Trung Quốc ,5b5d7b588245daea32f56ef6,2018-07-29T08:37:20.695Z,0,0,,,,,,,,,,"----SKU-7208858589972--Thương hiệu-Maybelline--
Sản xuất tại-Trung Quốc--Hạn sử dụng-Xem trên bao bì sản phẩm--Hướng dẫn sử dụng-
Dùng chổi tán son hoặc thoa trực tiếp màu son lên môi. Có thể lặp lại nếu bạn muốn màu sắc rõ và rực rỡ hơn
Mỗi khi vặn son, chỉ vặn lên cao 1cm để tránh làm son nhanh bị gãy--
Hướng dẫn bảo quản-Bảo quản nơi khô ráo, thoáng mát--Trọng lượng-3.9g--Kích thước-Đang cập nhật.----
Son Màu Mịn Môi Maybelline Pink Alert Lip Color - Maybelline sẽ dẫn dắt nàng tới xứ sở của những gam màu hồng – màu sắc dường như độc quyền dành riêng cho phái nữ. Cùng Maybelline khám phá 4 tông hồng rực rỡ từ dòng Son Màu Mịn Môi Maybelline Pink Alert Lip Color đem tới cho nàng vẻ đẹp lôi cuốn khó cưỡng. Với tinh chất mật ong nuôi dưỡng môi mềm mịn cả ngày dài, nỗi lo khô môi, thâm môi chỉ còn trong dĩ vãng với dòng son dành cho các cô nàng “Pinkaholics”  của Maybelline.
Loại sản phẩm
Son Màu Mịn Môi Maybelline Pink Alert Lip Color là dòng son lì, cung cấp độ ẩm và dưỡng chất cho bạn đôi môi căng mọng và quyến rũ.
Tính năng sản phẩm mang lại-Tinh chất mật ong dưỡng ẩm sâu cho môi mềm mịn, khắc phục khuyết điểm môi, không gây khô môi, thâm môi. Đồng thời cho khả năng giữ màu cao, không trôi suốt 6 giờ.
Công thức với sắc tố màu nguyên chất mang đến 4 sắc hồng tươi tắn dành riêng cho phái nữ.
Chất son đánh mịn, không cợn, cho độ lên màu hoàn hảo cùng đôi môi mềm mịn.-Màu sắc-Pow 1: Hồng baby
Pow 2: Hồng sen
Pow 3: Hồng neon
Pow 4: Hồng cam-Tùy theo lô hàng mà sản phẩm sẽ có nơi sản xuất khác nhau
Tiki.vn đảm bảo 100% sản phẩm Maybelline là hàng chính hãng từ nhà cung cấp.
Xem Thêm Nội Dung-
",,,,,,,,,,,,
Tiki Trading,Combo 4 Màu Son Thỏi Mịn Môi Rucy's Vanity Gleamy Lipstick (4.5g / Thỏi),092,https://tiki.vn/combo-4-mau-son-thoi-min-moi-rucy-s-vanity-gleamy-lipstick-4-5g-thoi-p2302867.html,The Rucy,"-Là dạng son màu có dưỡng, không sợ bị khô môi-Chất son rất mướt và dễ lên màu-Không hề bị bột hay hiện vảy môi-Kích thích sản sinh collagen và elastin, làm da mềm-
",Làm Đẹp - Sức Khỏe,2, Hàn Quốc ,5b5d7b588245daea32f56c8f,2018-07-29T08:37:17.072Z,99000,300000,2018-07-31T12:20:26.406Z,99000,300000,,,,,,,"----SKU-4257085026845--Thương hiệu-The Rucy--
Xuất xứ thương hiệu-Hàn Quốc--Sản xuất tại-Hàn Quốc--Model-LK-CLP4--Hạn sử dụng-Xem trên bao bì sản phẩm--Hướng dẫn sử dụng-Thoa son lên môi, có thể dùng cọ để màu son được trải đều và mịn đẹp hơn--Hướng dẫn bảo quản-Nơi khô ráo, dưới 30 độ C, tránh ánh nắng trực tiếp--Trọng lượng-4.5g / thỏi------Combo 4 Màu Son Thỏi Mịn Môi Rucy's Vanity Gleamy Lipstick là dạng son màu có dưỡng vì vậy môi khô hoàn toàn vẫn có thể dùng được mà không sợ bị khô môi. Chất son rất mướt và dễ apply, màu tán đều và mịn, không hề bị bột hay hiện vảy môi. Lên màu cực tốt, che phủ tất cả các khuyết điểm môi như môi tối màu, môi có nếp nhăn và khô sạm.
Squalane dưỡng ẩm, làm giảm sự xuất hiện của các nếp nhăn, chữa lành vết nứt nẻ trên môi khô và làm mềm môi và là một thành phần chống lão hóa hiệu quả, ngăn ngừa các tia UV gây hại cho môi.
Castor oil kích thích sản sinh collagen và elastin, làm da mềm, mượt, trẻ trung và duy trì độ ẩm cần thiết cho da.
Chứa vitamin E, collagen thúc đẩy tuần hoàn máu, tăng quá trình trao đổi chất, cho làn môi tươi tắn và tạo sự đàn hồi.-Combo gồm 4 màu son:-Son Thỏi Rucy's Vanity Gleamy Lipstick HOT PINK - Hồng sen
Son Thỏi Rucy's Vanity Gleamy Lipstick RED BERRY - Đỏ dâu
Son Thỏi Rucy's Vanity Gleamy Lipstick SEXY RED - Đỏ cam
Son Thỏi Rucy's Vanity Gleamy Lipstick PASSION - Đỏ -Xem Thêm Nội Dung-
",,,,,,,,,,,,
Tiki Trading,Son Màu Dưỡng Môi Maybelline Rebel Bouquet (3.9g),092,https://tiki.vn/son-mau-duong-moi-maybelline-rebel-bouquet-3-9g-p135858.html,Maybelline,,Làm Đẹp - Sức Khỏe,1, Trung Quốc ,5b5d7b588245daea32f57212,2018-07-29T08:37:20.729Z,175000,175000,,,,,,,,,,"----SKU-7205873305839--Thương hiệu-Maybelline--
Sản xuất tại-Trung Quốc----
Son Màu Dưỡng Môi Maybelline Rebel Bouquet (3.9g)
Son Màu Dưỡng Môi Maybelline Rebel Bouquet (3.9g) với tinh chất mật ong dưỡng chất làm cho môi trở nên đàn hồi và mềm mại, mang đến bờ môi ẩm mượt suốt ngày dài. Với nhiều tông màu sắc tự nhiên sinh động, cho bạn gái chọn lựa phù hợp nhiều dịp và phong cách thời trang khác nhau.-Thông tin sản phẩm
Loại sản phẩm
Son Màu Dưỡng Môi Maybelline Rebel Bouquet (3.9g) là loại son dưỡng môi có màu cao cấp của Maybeline. Son dạng thỏi tiện dụng Rebel Bouquet hiện đang là xu hướng của của năm 2015.
Thành phần và công dụng
Son có chiết xuất từ tinh chất mật ong kết hợp các dưỡng chất và vitamin giúp môi luôn được dưỡng ẩm tự nhiên, chống khô môi và nứt nẻ, đặc biệt không làm thâm môi. Công thức tiên tiến giúp bề mặt son mềm mượt, dịu nhẹ, tạo độ bóng mịn khi thoa, cho bạn làn môi căng mọng, tăng vẻ gợi cảm và quyến rũ.
Màu sắc đa dạng
Ngoài ưu điểm dưỡng môi, son còn có nhiều màu sắc để bạn lựa chọn cho phù hợp với lứa tuổi, trang phục và sở thích
Mẫu 1: Đỏ Ấn Tượng #01
Mẫu 2: Hồng Dâu #02
Mẫu 3: Hồng Sữa #03
Mẫu 4: Đỏ Cam #04
Mẫu 5: Cam Tươi #05
Mẫu 6: Cam Sữa #06
Mẫu 8: Hồng Da #08
Mẫu 9: Hồng Neon #09
Mẫu 10: Hồng Tím #10
Mẫu 12: Cam Rực Rỡ #12-Hướng dẫn sử dụng
Dùng cọ hoặc son thoa đều lên môi để làn môi bạn luôn rạng rỡ.
Xem Thêm Nội Dung-
",,,,,,,,,,,,
Rohto Mentholatum (Vi&#x1EC7;t Nam),Son Sáp Bút Chì Miracle Apo Lip Crayon (3g) - Flirty Violet Hồng Tím,092,https://tiki.vn/son-sap-but-chi-miracle-apo-lip-crayon-3g-flirty-violet-hong-tim-p634075.html,Miracle Apo,"-Thành phần dưỡng ẩm dịu nhẹ giúp môi mềm mại, quyến rũ-Sắc màu tươi trẻ và nổi bật-Thiết kế hình dáng bút chì dễ tạo viền-Thích hợp sử dụng hằng ngày-
",Làm Đẹp - Sức Khỏe,0, Việt Nam ,5b5d7b578245daea32f567de,,,,,,,,,,,,,"----SKU-3579836631155--Thương hiệu-Miracle Apo--
Xuất xứ thương hiệu-Việt Nam--Sản xuất tại-Việt Nam--Model-RMV-MA16-LC-FV--Thành phần-Mentha Piperita (Peppermint) Oil, C10-30 Cholesterol/Lanosterol Esters, Ethylhexyl Cocoate, Polyethylene, Polybutene, Triisostearin,...--Hướng dẫn sử dụng-
Trước tiên tô đều phần viền môi và khóe môi.
Sau đó thoa đều phần môi bên trong.
Thích hợp sử dụng hàng ngày.--
Hạn sử dụng-3 năm kể từ ngày sản xuất - Xem trên bao bì sản phẩm-----Son Sáp Bút Chì Miracle Apo Lip Crayon (3g) - Flirty Violet Hồng Tím với hình dáng ngộ nghĩnh dễ dàng tạo viền môi, công thức đặc biệt dưỡng ẩm sâu, tạo lớp son cực mỏng, cực mịn giúp bạn sở hữu làn môi mềm ngất ngây cá tính.
Sắc màu thời trang, lâu phai giúp môi tươi tắn suốt ngày dài năng động.
Tinh dầu Peppermint nuôi dưỡng làn môi thêm mềm mượt, căng mọng từ bên trong.
Kiểu dáng nhỏ gọn dễ dàng mang theo bên người.-Xem Thêm Nội Dung-
",,,,,,,,,,,,
Tiki Trading,Son Lì Siêu Nhẹ Môi Maybelline New York Powder Matte (3.9g),092,https://tiki.vn/son-li-sieu-nhe-moi-maybelline-new-york-powder-matte-3-9g-p704166.html,Maybelline,"-Hạt phấn siêu mịn-Bổ sung tinh chất dưỡng môi-Sắc màu thời thượng-Mang lại cho bạn đôi môi mềm mịn, quyến rũ-
",Làm Đẹp - Sức Khỏe,0, Trung Quốc ,5b5d7b578245daea32f5676c,,,,,,,,,,,,,"----SKU-3571597478611--Thương hiệu-Maybelline--
Xuất xứ thương hiệu-Mỹ--Sản xuất tại-Trung Quốc--Hạn sử dụng-36 tháng--Hướng dẫn sử dụng-
Thoa trực tiếp lên môi
Có thể dùng để đánh lòng môi hoặc đánh cả môi để tạo ra phong cách trang điểm yêu thích--
Hướng dẫn bảo quản-Bảo quản nơi khô ráo, thoáng mát----
Son Lì Siêu Nhẹ Môi Maybelline New York Powder Matte (3.9g) với hạt phấn màu cực mịn và chiết xuất mật ong dưỡng môi tạo hiệu ứng lì siêu mịn và cực nhẹ môi.-Son lên màu chuẩn và bền màu suốt cả ngày.
Son môi với công nghệ hạt phấn tạo màu nhỏ hơn bình thường 4 lần giúp son lên màu siêu chuẩn, siêu mịn lì và siêu nhẹ môi.
Hơn thế, son còn bổ sung tinh chất mật ong dưỡng môi cho bạn gái luôn nổi bật với lớp son thời thượng bền màu suốt 24h mà không hề gây khô môi.
Hãy trải nghiệm ngay hiệu ứng son lì hoàn hảo trên bờ môi mịn màng nhẹ tênh với bộ sưu tập 20 sắc màu thời thượng từ Maybelline New York.-Màu sắc lựa chọn-Son Lì Siêu Nhẹ Môi Maybelline New York Powder Matte (3.9g) #MNU08 Touch Of Nude
Son Lì Siêu Nhẹ Môi Maybelline New York Powder Matte (3.9g) #MNU05 Make Me Blush
Son Lì Siêu Nhẹ Môi Maybelline New York Powder Matte (3.9g) #MNU07 Nude Illusion
Son Lì Siêu Nhẹ Môi Maybelline New York Powder Matte (3.9g) #MNU06 Barely There
Son Lì Siêu Nhẹ Môi Maybelline New York Powder Matte (3.9g) #MPK18 Mauve It Up
Son Lì Siêu Nhẹ Môi Maybelline New York Powder Matte (3.9g) #MPK15 Technically Pink
Son Lì Siêu Nhẹ Môi Maybelline New York Powder Matte (3.9g) #MPK16 Pink Potion
Son Lì Siêu Nhẹ Môi Maybelline New York Powder Matte (3.9g) #MPK17 Up To Date
Son Lì Siêu Nhẹ Môi Maybelline New York Powder Matte (3.9g) #MPK14 Fuchsia Flash
Son Lì Siêu Nhẹ Môi Maybelline New York Powder Matte (3.9g) #MPK13 Pink Shot
Son Lì Siêu Nhẹ Môi Maybelline New York Powder Matte (3.9g) #MRD08 Red-dy Red
Son Lì Siêu Nhẹ Môi Maybelline New York Powder Matte (3.9g) #MRD09 Get Red-dy
Son Lì Siêu Nhẹ Môi Maybelline New York Powder Matte (3.9g) #MRD10 Cherry Chic
Son Lì Siêu Nhẹ Môi Maybelline New York Powder Matte (3.9g) #MRD11 Plum Perfectsion 
Son Lì Siêu Nhẹ Môi Maybelline New York Powder Matte (3.9g) #MRD07 Noir Red
Son Lì Siêu Nhẹ Môi Maybelline New York Powder Matte (3.9g) #MOR06 Orange Treat
Son Lì Siêu Nhẹ Môi Maybelline New York Powder Matte (3.9g) #MOR10 Orange Shot
Son Lì Siêu Nhẹ Môi Maybelline New York Powder Matte (3.9g) #MOR08 Orange Obsession
Son Lì Siêu Nhẹ Môi Maybelline New York Powder Matte (3.9g) #MOR07 Coral Passion
Son Lì Siêu Nhẹ Môi Maybelline New York Powder Matte (3.9g) #MOR09 Avenue C
Son Lì Siêu Nhẹ Môi Maybelline New York Powder Matte (3.9g) #Honey Cherry
Son Lì Siêu Nhẹ Môi Maybelline New York Powder Matte (3.9g) #Rosewood Red-Xem Thêm Nội Dung-
",,,,,,,,,,,,
BambiHomemade,Son Dưỡng Gấc Bambi (5g),092,https://tiki.vn/son-duong-gac-bambi-5g-p1587965.html,Bambi,"-Màu cam nhạt tự nhiên-Dưỡng môi ngày đêm-Làm mền da chết-Thích hợp cho môi vừa phun xăm-
",Làm Đẹp - Sức Khỏe,2, Việt Nam ,5b5d7b5a8245daea32f57ac6,2018-07-29T08:46:44.105Z,65000,65000,2018-07-31T12:04:24.057Z,65000,65000,,,,,,,"----SKU-9124600230825--Thương hiệu-Bambi--
Xuất xứ thương hiệu-Việt Nam--Sản xuất tại-Việt Nam--Thành phần-Sáp, Bơ xoài nguyên chất chưa tinh chế, Dầu Gấc, Dầu Rễ Tử Thảo, Mâm Xôi, Vitamin E…--Hạn sử dụng-8 tháng-------Son Dưỡng Gấc Bambi (5g) với các thành phần thiên nhiên giúp dưỡng môi cả ngày lẫn đêm.
Son giúp làm mềm lớp da chết, nhẹ nhàng làm sạch hiệu quả lớp da chết cho môi.
Có thể dùng thay mặt nạ môi.
Sản phẩm có màu cam nhạt của gấc, thích hợp dùng cho môi vừa phun xăm.-Xem Thêm Nội Dung-
",,,,,,,,,,,,
Tiki Trading,Son Lì Mịn Môi L'Oreal Color Riche Moist Matte (3.7g),092,https://tiki.vn/son-li-min-moi-l-oreal-color-riche-moist-matte-3-7g-p1047764.html,L&apos;OR&#xC9;AL,"-Kết cấu son mềm mịn-Thành phần son chứa dưỡng ẩm cao-Mang đến đôi môi quyến rũ-Không chứa paraben-Dùng được cho mọi làn da-
",Làm Đẹp - Sức Khỏe,2, Trung Quốc ,5b5d7b588245daea32f56d22,2018-07-29T08:46:36.216Z,160000,228000,2018-07-31T12:04:37.891Z,160000,228000,,,,,,,"----SKU-3572728407760--Thương hiệu-L'ORÉAL--
Xuất xứ thương hiệu-Pháp--Sản xuất tại-Trung Quốc--Hướng dẫn sử dụng-
Mỗi khi vặn son, chỉ vặn lên cao 1cm để tránh làm son nhanh bị gãy
Nên thoa một lớp son dưỡng trước khi đánh son màu
Dùng cọ tán đều son lên môi sẽ giúp môi trông căng mọng và thể hiện màu sắc rực rỡ--
Hướng dẫn bảo quản-Bảo quản nơi khô ráo, thoáng mát-----Son Lì Mịn Môi L'Oreal Color Riche Moist Matte (3.7g) với những tông màu rạng rỡ để bạn gái luôn xinh tươi mỗi ngày. Tinh dầu dưỡng ẩm trong son mang lại hiệu quả dưỡng ẩm tuyệt vời, nuông chiều, bảo vệ làn môi cho đôi môi luôn mềm mượt.
Chất son mềm mịn, lâu phai, cho bạn bờ môi luôn tươi tắn, quyến rũ suốt cả ngày. 
Bạn có thể kết hợp với trang phục đi làm, đi chơi và đi học, tất cả đều rất trẻ trung và sinh động, mang đến nét nhấn nhá ngọt ngào cho bất kỳ mùa nào trong năm.
Với kết cấu son mềm mịn và chất son kem mượt mà được nghiên cứu bởi viện nghiên cứu L oreal Paris của thương hiệu Mỹ Phẩm L oreal, son dễ dàng bao phủ màu son lên môi mà vẫn đảm bảo mỏng, mịn tránh hiện tượng son đóng cặn.
Thành phần son chứa dưỡng ẩm cao trong giúp đôi môi luôn căng ẩm đồng thời bạn không bao giờ phải lo lắng về hiện tượng thâm, khô, tróc môi.-Màu sắc lựa chọn-Son Lì Mịn Môi L'Oreal Color Riche Moist Matte (3.7g) - 233 Đỏ Trầm Quyến Rũ
Son Lì Mịn Môi L'Oreal Color Riche Moist Matte (3.7g) - 234 Đỏ Hồng Nồng Nàn
Son Lì Mịn Môi L'Oreal Color Riche Moist Matte (3.7g) - 235 Hồng Tím Cuốn Hút
Son Lì Mịn Môi L'Oreal Color Riche Moist Matte (3.7g) - 236 Tím Đất Táo Bạo
Son Lì Mịn Môi L'Oreal Color Riche Moist Matte (3.7g) - 237 Cam Blush
Son Lì Mịn Môi L'Oreal Color Riche Moist Matte (3.7g) - 238 Đỏ Rượu
Son Lì Mịn Môi L'Oreal Color Riche Moist Matte (3.7g) - 239 Cam San Hô
Son Lì Mịn Môi L'Oreal Color Riche Moist Matte (3.7g) - 240 Đỏ Thẳm
Son Lì Mịn Môi L'Oreal Color Riche Moist Matte (3.7g) - 241 Tím--Xem Thêm Nội Dung-
",,,,,,,,,,,,
PTV &amp; C&#xE1;c C&#x1ED9;ng S&#x1EF1;,Son Kem Lì Zureo (4.5g),092,https://tiki.vn/son-kem-li-zureo-4-5g-p1061984.html,Zureo,"-Chất son sánh mịn-Cho đôi môi luôn mềm mịn và rạng ngời-Màu trẻ trung, hiện đại-
",Làm Đẹp - Sức Khỏe,2, Hàn Quốc ,5b5d7b578245daea32f56ae2,2018-07-29T08:46:51.838Z,159000,179000,2018-07-31T12:03:42.056Z,159000,179000,,,,,,,"----SKU-3570128545112--Thương hiệu-Zureo--
Xuất xứ thương hiệu-Hàn Quốc--Sản xuất tại-Hàn Quốc--Hướng dẫn bảo quản-Bảo quản nơi khô ráo, thoáng mát-----
Son Kem Lì Zureo (4.5g)với chất son sánh mịn, cho đôi môi luôn mềm mịn và rạng ngời. 
 Son kem lì Zureo có 5 màu trẻ trung, hiện đại, là thỏi son không thể thiếu trong bộ sưu tập mỹ phẩm của các bạn nữ. - Màu sắc lựa chọn - Son Kem Lì Zureo (4.5g) - Hồng San Hô ZR-S01 
 Son Kem Lì Zureo (4.5g) - Cam ZR-S03 
 Son Kem Lì Zureo (4.5g) - Đỏ ZR-S04 
 Son Kem Lì Zureo (4.5g) - Đỏ Mận ZR-S05 -Xem Thêm Nội Dung-
",,,,,,,,,,,,
,Son Dưỡng Môi NYX Professional Makeup Butter Lip Balm (4g),092,https://tiki.vn/son-duong-moi-nyx-professional-makeup-butter-lip-balm-4g-p253818.html,NYX Professional Makeup Pro,"-Chiết xuất thiên nhiên giàu dưỡng chất, độ ẩm cao-Công thức siêu mềm mịn-Không chứa paraben-
",Làm Đẹp - Sức Khỏe,1, Trung Quốc ,5b5d7b588245daea32f56b75,2018-07-31T12:04:03.233Z,148000,148000,,,,,,,,,,"----SKU-1339802665513--Thương hiệu-NYX Professional Makeup Pro--
Xuất xứ thương hiệu-Mỹ--Sản xuất tại-Trung Quốc--Hạn sử dụng-Xem trên bao bì sản phẩm--Hướng dẫn sử dụng-Sử dụng bất cứ khi nào cảm thấy cần thiết để đôi môi luôn được dưỡng ẩm và tươi tắn suốt cả ngày--Hướng dẫn bảo quản-Bảo quản nơi khô ráo, thoáng mát----
Son Dưỡng Môi NYX Professional Makeup Butter Lip Balm (4g) với các màu nhẹ nhàng, dễ thương cùng với các chất dưỡng môi làm đôi môi bạn ửng màu thật tự nhiên và mềm mại. Sản phẩm có chiết xuất từ thiên nhiên giàu dưỡng chất, độ ẩm cao. Màu sắc nhẹ nhàng, cho bạn bờ môi mềm mịn. Đây là lựa chọn thú vị để có đôi môi giàu độ ẩm và bóng mượt với một ít sắc màu.
Loại sản phẩm
Son Dưỡng Môi NYX Professional Makeup Butter Lip Balm (4g) là sản phẩm đột phá trong việc chăm sóc môi với thành phần chứa chiết xuất bơ hạt mỡ, tinh dầu hoa hướng dương mang lại hiệu quả dưỡng ẩm tối ưu, cho làn môi mềm mại, căng mọng bất ngờ.
Tính năng sản phẩm-Nguyên liệu tạo màu thiên nhiên, không gây thâm môi.
Thể sáp mềm mại che phủ nếp nhăn môi hoàn hảo.
Bổ sung ẩm vượt trội cho làn da căng mọng.-Loại da phù hợp
Thích hợp dùng cho mọi làn da
Màu sắc-Son Dưỡng Môi NYX Professional Makeup Butter Lip Balm (4g) Parfait
Son Dưỡng Môi NYX Professional Makeup Butter Lip Balm (4g) Red Velvet
Son Dưỡng Môi NYX Professional Makeup Butter Lip Balm (4g) Macaron-Thông tin thương hiệu
NYX Professional Makeup là một thương hiệu mỹ phẩm Hoa Kỳ được thành lập vào năm 1999 bởi Toni Ko với mong muốn tạo nên một dòng sản phẩm chất lượng với giá thành hợp lý. NYX Professional Makeup tập trung sản xuất mỹ phẩm màu từ những nguyên liệu hàng đầu và công thức mang lại vẻ đẹp rạng rỡ cho người sử dụng. Tên hãng được đặt theo tên của nữ thần bóng đem trong thần thoại Hy Lạp, một nhân vật dù xuất hiện không nhiều nhưng để lại ấn tượng đặc biệt nhờ sắc đẹp và quyền năng siêu hạng. Và đúng như tên gọi của mình, mỹ phẩm NYX Professional Makeup đã giúp cho phụ nữ khắp nơi trên thế giới trở nên rạng rỡ và quyến rũ.-
Xem Thêm Nội Dung-
",,,,,,,,,,,,
M&#x1EF8; PH&#x1EA8;M &#xC1; CH&#xC2;U -SILKYGIRL,Son Lì Siêu Mịn Silkygirl Omg! Powder Matte 3.5g - 01 Blossom,092,https://tiki.vn/son-li-sieu-min-silkygirl-omg-powder-matte-3-5g-01-blossom-p3241977.html,Silkygirl,"-Silkygirl OMG! Powder Matte Là thỏi son lì nịnh môi chắc chắn sẽ khiến bạn bất ngờ: “Oh My God”!-Hiệu ứng Lì, chất bất ngờ: Độc đáo, ấn tượng, Silkygirl OMG! Powder Matte dễ dàng lướt trên môi vì có công nghệ hạt phấn màu cực mịn, cho hiệu ứng “powder-light”. Sau khi thoa xong, cảm giác cực nhẹ như chỉ phủ phấn trên làn môi. -Công nghệ hạt phấn li ti cực mịn còn giúp son lên màu rất nhanh và rất chuẩn. -Thiết kế son lì cực chất với vỏ ngoài có nút BẤM ĐỂ MỞ chắc chắn và gương soi mini.-Bô sưu tập Son Lì Silkygirl OMG! Powder Matte bao gồm 10 tông màu thời thượng chiều lòng các cô gái, quý cô thành thị.-
",Làm Đẹp - Sức Khỏe,1, Thái Lan ,5b5d7b598245daea32f574cb,2018-07-31T12:20:07.710Z,105000,158000,,,,,,,,,,"----SKU-1555919788512--Thương hiệu-Silkygirl--
Sản xuất tại-Thái Lan----
Silkygirl OMG! Powder Matte Là thỏi son lì nịnh môi chắc chắn sẽ khiến bạn bất ngờ: “Oh My God”!-Hiệu ứng Lì, chất bất ngờ: Độc đáo, ấn tượng, Silkygirl OMG! Powder Matte dễ dàng lướt trên môi vì có công nghệ hạt phấn màu cực mịn, cho hiệu ứng “powder-light”. Sau khi thoa xong, cảm giác cực nhẹ như chỉ phủ phấn trên làn môi. Công nghệ hạt phấn li ti cực mịn còn giúp son lên màu rất nhanh và rất chuẩn. Thiết kế son lì cực chất với vỏ ngoài có nút BẤM ĐỂ MỞ chắc chắn và gương soi mini.
Bô sưu tập Son Lì Silkygirl OMG! Powder Matte bao gồm 10 tông màu thời thượng chiều lòng các cô gái, quý cô thành thị.  Các tông màu thiên nude, nhưng vẫn đảm bảo đa dạng màu sắc từ hồng, đỏ, tím, san hô. Cho dù bạn là cô gái yêu thích sắc màu nào,  OMG! Powder Matte của Silkygirl cũng có thể giúp bạn make up đúng tông nude sành điệu, đặc biệt phù hợp với mọi tông da châu Á.
10 màu tông nude được có tại Việt Nam mang cá tính riêng mà bạn chỉ có thể tìm thấy ở OMG! Silkygirl:
Màu 01: Blossom/ cam đất.
Màu 02: Mocha/ nâu cà phê.
Màu 03: Mulberry/ hồng tím.
Màu 04: Maroon/ đỏ nâu
Màu 05: Rosewood/ hồng đất.
Màu 06: Ruby/ đỏ ruby.
Màu 07: Blackcurrant/ đỏ rượu.
Màu 08: Sakura/ hồng sakura.
Màu 09: Anko/ nâu socola.
Màu 10: Mauve/ đỏ tím.- 
 
Xem Thêm Nội Dung-
",,,,,,,,,,,,
Tiki Trading,Bộ 3 Son Lì Intimatte Nude Maybelline New York (3.9g / Thỏi),092,https://tiki.vn/bo-3-son-li-intimatte-nude-maybelline-new-york-3-9g-thoi-p1992227.html,Maybelline,"-Chất son lì cực mướt, không hề lộ rãnh môi-Lên màu siêu chuẩn-Bền màu lâu trôi-Sản phẩm thích hợp cho mọi loại da-Bộ gồm 3 màu: Chili Nude - Nude đỏ gạch; Touch of Nude - Nude hồng đất; Toasted Brown - Nude nâu đất-
",Làm Đẹp - Sức Khỏe,1, Trung Quốc ,5b5d7b588245daea32f56ef3,2018-07-31T12:20:38.314Z,341000,525000,,,,,,,,,,"----SKU-8654423068462--Thương hiệu-Maybelline--
Xuất xứ thương hiệu-Mỹ--Sản xuất tại-Trung Quốc--Hướng dẫn sử dụng-Dùng trực tiếp lên môi, khuyến khích sử dụng cọ cho đôi môi hoàn hảo--Hướng dẫn bảo quản-Bảo quản nơi thoáng mát, tránh ánh sáng trực tiếp-----
Bộ 3 Son Lì Intimatte Nude Maybelline New York là dòng sản phẩm với chất son lì mềm mỏng như lụa và mướt môi cực kỳ của thương hiệu Maybelline.
Đây là dòng son nổi tiếng về chất lượng, đa dạng về màu son mà bất kỳ cô gái nào cũng phải có cho mình một thỏi.
Son có màu sắc ấm áp, giúp làm tươi tắn thêm cho màu môi tự nhiên của bạn.
Chất son mềm, mượt, mịn và khi đánh lên cảm giác nhẹ và êm. Son lên màu chuẩn và bền màu từ 6 - 8 tiếng.
Bộ gồm 3 màu: Chili Nude - Nude đỏ gạch; Touch of Nude - Nude hồng đất; Toasted Brown - Nude nâu đất-Xem Thêm Nội Dung-
",,,,,,,,,,,,
Rohto Mentholatum (Vi&#x1EC7;t Nam),Son Thỏi Miracle Apo (4g) - Trendy Violet Tím Sành Điệu,092,https://tiki.vn/son-thoi-miracle-apo-4g-trendy-violet-tim-sanh-dieu-p634112.html,Miracle Apo,"-Thành phần dưỡng ẩm dịu nhẹ giúp môi mềm mại, quyến rũ-Sắc màu tươi trẻ và nổi bật-Thích hợp sử dụng hằng ngày-
",Làm Đẹp - Sức Khỏe,1, Việt Nam ,5b5d7b588245daea32f572d5,2018-07-31T12:21:27.452Z,59000,92000,,,,,,,,,,"----SKU-3578796355996--Thương hiệu-Miracle Apo--
Xuất xứ thương hiệu-Việt Nam--Sản xuất tại-Việt Nam--Model-RMV-MA16-TV--Thành phần-Dầu oliu (Olea Europaea (Olive) Fruit Oil), chiết xuất nha đam (Aloe Barbadensis (Aloe) Leaf Extract), vitamin E (Tocopheryl Acetate),...--Hướng dẫn sử dụng-Dùng cọ hoặc thoa trực tiếp lên môi. Không vặn son cao quá 1cm để tránh bị gãy.--Hạn sử dụng-3 năm kể từ ngày sản xuất - Xem trên bao bì sản phẩm-----Son Thỏi Miracle Apo (4g) - Trendy Violet Tím Sành Điệu mang phong cách trang điểm xu hướng mới với việc sử dụng tone màu trẻ trung và cá tính, sử dụng công thức đặc chế với độ bền màu cao tạo nên vẻ ngoài quyến rũ và nổi bật cho đôi môi.
Thiết kế dạng thỏi dễ sử dụng, giúp môi lên màu hiệu quả.
Bổ sung tính năng dưỡng ẩm từ tinh dầu ô liu, Chiết xuất nha đam và Vitamin E cho làn môi ẩm mượt.
Kiểu dáng nhỏ gọn dễ dàng mang theo bên người.-Xem Thêm Nội Dung-
",,,,,,,,,,,,
